title,description,tags,last_update,publisher,contact_name,contact_email,url,direct_download_url,license,comments,type,access,category
Harvard GIS Data Layers,"Architectural and geospatial data on buildings, accessibility, green space, hydrography, map labels, parking, 3D CAD models of buildings, etc.","gis, maps, buildings",,Harvard Planning & Project Management,Parvaneh Kossari,parvaneh_kossari@harvard.edu,http://home.hppm.harvard.edu/pages/gis-data-layers,,,Must email the manager to order datasets.,,,campus
Harvard Archives,"The Harvard University Archives collects, organizes, preserves and provides access to a comprehensive record of more than 375 years of life at Harvard. From 17th and 18th century diaries and scientific observations to 21st century web sites, the Harvard University Archives�ˌ_�ˌ__�ˌ_�ˌ_ collections comprise over 51,000 feet of University records and related historical materials.",,,Harvard University,,,http://library.harvard.edu/university-archives,,,,,General public,campus
Harvard Directory,"A tool to look up Harvard students, faculty, or administrators and access the phone and email of each.","directory, phonebook",10/30/15,Harvard University,,,https://www.directory.harvard.edu/phonebook/,,,,,,faculty-staff
LibraryCloud,Catalog metadata++ about Harvard Library's collection + VIA images + Archival items. Total of about 17M items.,"library, images, archives, catalog, MARC",Updated 3 times per week,Harvard Library,Randy Stern,randy_stern@harvard.edu,http://api.lib.harvard.edu/v2/items,,CC 0 (I think),overall description: http://library.harvard.edu/librarycloud,,,library
Universal Harvard Events Calendar,A dataset that will carry events from Harvard. Harvard has several websites that maintain active calendars so this dataset will probably access the events from the api/by scraping off the websites.,Events Calendar,,"Harvard Registrar, Harvard Gazette, Harvard Course Catalog",,,"http://www.registrar.fas.harvard.edu/about-us/contact-us, http://news.harvard.edu/gazette/harvard-events/events-calendar/, http://coursecatalog.harvard.edu/icb/icb.do?keyword=CourseCatalog&pageid=icb.page335060",,Public Domain,,,,student-life
Free software for students,A step towards having a compiled webpage/pdf with links to everything that is free for Harvard students with both the HUID and @college.harvard.edu email address.,"free, software, students",,,,,https://docs.google.com/document/d/1mKayODOxJ4aa6uzuutwVEbdT_ascRWUUa9avaD7tbgs/edit?usp=sharing,https://docs.google.com/document/d/1mKayODOxJ4aa6uzuutwVEbdT_ascRWUUa9avaD7tbgs/edit?usp=sharing,Public to students,Probably work on compiling this data because it's spread over a wide array of domains. More sources will be included as discovered.,,,student-life
List of Club Sports,Official list of all undergraduate club sports,"club sports, sports, club",,Harvard Recreation,,amembers@fas.harvard.edu,http://recreation.gocrimson.com/recreation/club_sports/active_clubsports,,,,,General public,student-life
Shuttle route and schedule,A poster containing a map of shuttle stops and a schedule of all the shuttle routes.,"shuttle, map, schedule",10/30/15,Harvard University,,,http://www.transportation.harvard.edu/shuttle-van-services/full-service-shuttles-schedule,http://www.transportation.harvard.edu/sites/transportation.harvard.edu/files/shuttle_schedule.pdf,,High-res map available at http://www.transportation.harvard.edu/sites/transportation.harvard.edu/files/shuttle_stops_map.pdf.,,,transportation
Racial Composition of Faculty,A visualization of the racial composition of Harvard faculty over time,"faculty, staff, demographics",,Open Data Project,,,/visual/?id=faculty_race,,,,Visualization,,faculty-staff
Crime Map,A crime map created from Harvard crime reports,"crime, safety, campus",,Open Data Project,,,/visual/crime,,,,Visualization,,safety
Harvard Crimson Word Clouds,A word cloud of the most common tags and authors on Crimson articles,"crimson, news, club, campus",,Open Data Project,,,/visual/crimson,,,,Visualization,,student-life
HUDS Menu,Web app for viewing historical and upcoming HUDS menu info,"HUDS, campus",,Open Data Project,,,/visual/hudsmenu,,,,Visualization,,student-life
